AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,IntakeMonth,DaysInShelter,OutcomeClass
A751529,Dog,Chihuahua Shorthair Mix,Brown,Intact Male,Owner Surrender,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Verano,6,2,Adoption
A772158,Dog,Border Collie Mix,Black/White,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,5,1,Adoption
A678845,Dog,Jack Russell Terrier Mix,Black/White,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Bicolor,Primavera,5,34,Adoption
A665925,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,10,13,Transfer
A744689,Cat,Domestic Shorthair Mix,Cream Tabby,Spayed Female,Owner Surrender,Normal,4015.0,Senior (>7a),mix,Monocolor,Primavera,3,9,Transfer
A775445,Cat,Domestic Shorthair Mix,Cream Tabby/White,Intact Female,Public Assist,Injured,120.0,Cachorro (<6m),mix,Bicolor,Verano,6,42,Adoption
A367747,Dog,German Shepherd Mix,Black/Tan,Neutered Male,Stray,Normal,3650.0,Senior (>7a),mix,Bicolor,Otoño,10,15,Adoption
A822532,Dog,Labrador Retriever Mix,White/Black,Intact Male,Public Assist,Nursing,1.0,Cachorro (<6m),mix,Bicolor,Otoño,9,10,Return to Owner
A769890,Dog,Anatol Shepherd Mix,Brown/White,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Primavera,4,5,Adoption
A677864,Dog,Dachshund,Black/Tan,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,6,3,Adoption
A736597,Dog,Great Pyrenees Mix,Cream,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Monocolor,Otoño,10,17,Transfer
A676279,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Female,Stray,Normal,270.0,Joven (6m-1a),mix,Monocolor,Primavera,4,3,Transfer
A713606,Dog,Chihuahua Shorthair Mix,Brown/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,5,Adoption
A673251,Dog,Chihuahua Shorthair/Wire Hair Fox Terrier,Brown/White,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,3,3,Adoption
A760368,Cat,Domestic Shorthair Mix,Torbie,Intact Female,Stray,Injured,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,10,0,At Risk
A713641,Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,8,Return to Owner
