AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A824165,Cat,Domestic Shorthair,White/Black,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer
A706390,Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A712518,Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A733673,Dog,Pointer,White/Brown,Intact Female,Stray,Normal,150.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption
A796190,Cat,Domestic Shorthair,Blue/White,Intact Female,Stray,Nursing,7.0,Cachorro (<6m),purebred,Bicolor,Primavera,Transfer
A677470,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A681167,Dog,German Shepherd Mix,Tricolor,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Adoption
A777553,Cat,Snowshoe Mix,Seal Point/White,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A671426,Dog,American Staffordshire Terrier/Labrador Retriever,Tan/White,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Return to Owner
A750201,Dog,Toy Fox Terrier Mix,Black/Gray,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption
A704506,Dog,Border Collie Mix,White/Black,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption
A720200,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Owner Surrender,Normal,300.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption
A732236,Cat,Domestic Shorthair Mix,Orange Tabby/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A791215,Dog,Chihuahua Shorthair Mix,Chocolate/Gray,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A718998,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Monocolor,Invierno,Adoption
A803785,Dog,Pit Bull,Brown/White,Intact Female,Stray,Normal,210.0,Joven (6m-1a),purebred,Bicolor,Otoño,Return to Owner
A353259,Dog,Labrador Retriever,Tan,Neutered Male,Stray,Injured,5110.0,Senior (>7a),purebred,Monocolor,Primavera,Return to Owner
A802348,Dog,Cairn Terrier,Tan,Spayed Female,Stray,Normal,300.0,Joven (6m-1a),purebred,Monocolor,Otoño,Return to Owner
A823884,Cat,Domestic Shorthair,Brown Tabby,Neutered Male,Owner Surrender,Normal,300.0,Joven (6m-1a),purebred,Monocolor,Otoño,Adoption
A739888,Dog,Plott Hound Mix,Brown Brindle,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption
A759921,Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A775748,Dog,Pit Bull/Chihuahua Shorthair,Brown,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption
