AnimalType,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass,AgeInDays_log
Cat,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.367295829986474
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,4.110873864173311
Dog,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Transfer,6.999422467507961
Dog,Spayed Female,Owner Surrender,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Primavera,Adoption,7.509883061154913
Dog,Intact Female,Public Assist,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Primavera,Return to Owner,6.999422467507961
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,3.4339872044851463
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.4339872044851463
Dog,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer,5.902633333401366
Cat,Spayed Female,Stray,Normal,2920.0,Senior (>7a),mix,Bicolor,Verano,At Risk,7.979681302387741
Cat,Intact Male,Stray,Sick,30.0,Cachorro (<6m),mix,Bicolor,Verano,At Risk,3.4339872044851463
Dog,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Return to Owner,5.902633333401366
Dog,Intact Female,Stray,Normal,150.0,Cachorro (<6m),purebred,Bicolor,Verano,Return to Owner,5.017279836814924
Cat,Intact Female,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,4.110873864173311
Dog,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption,5.602118820879701
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Transfer,5.902633333401366
Dog,Spayed Female,Owner Surrender,Injured,2190.0,Adulto (3-7a),mix,Bicolor,Primavera,At Risk,7.692113339595466
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Return to Owner,6.594413459749778
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption,3.4339872044851463
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,6.594413459749778
Dog,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Verano,Return to Owner,7.509883061154913
Dog,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer,5.902633333401366
Dog,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner,6.594413459749778
Cat,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Transfer,5.902633333401366
Dog,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer,4.795790545596741
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,6.594413459749778
Dog,Intact Female,Stray,Injured,3650.0,Senior (>7a),mix,Bicolor,Otoño,Transfer,8.202756381655638
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer,5.902633333401366
Cat,Spayed Female,Stray,Sick,8030.0,Senior (>7a),purebred,Bicolor,Verano,Return to Owner,8.991064332188461
Dog,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Monocolor,Otoño,Adoption,5.602118820879701
Cat,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,3.091042453358316
Dog,Intact Female,Stray,Normal,210.0,Joven (6m-1a),purebred,Bicolor,Otoño,Adoption,5.351858133476067
Dog,Neutered Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Return to Owner,6.999422467507961
Cat,Spayed Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Transfer,7.2868764117507
Dog,Intact Female,Public Assist,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Otoño,Return to Owner,7.2868764117507
Cat,Intact Male,Stray,Injured,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,3.4339872044851463
Cat,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer,5.902633333401366
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer,3.4339872044851463
Dog,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Invierno,Return to Owner,5.198497031265826
Cat,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,5.017279836814924
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.4339872044851463
Dog,Intact Female,Stray,Normal,3285.0,Senior (>7a),mix,Bicolor,Invierno,Transfer,8.097426298597213
Dog,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.795790545596741
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,4.110873864173311
Dog,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.4339872044851463
Cat,Neutered Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Invierno,Adoption,4.110873864173311
Dog,Intact Female,Stray,Sick,1460.0,Adulto (3-7a),mix,Bicolor,Invierno,Transfer,7.2868764117507
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption,5.902633333401366
